Version,Date
7.2.1-69057,(2023-10-12)
7.2.1-69057,(2023-10-17)
7.2-64570,(2023-08-03)
7.2-64570,(2023-07-24)
7.2-64570,(2023-06-19)
7.2-64570,(2023-06-20)
7.2-64561,(2023-05-22)
6.2.4-25556,(2023-05-02)
6.2.4-25556,(2022-05-24)
6.2.4-25556,(2022-02-22)
6.2.4-25556,(2022-01-27)
6.2.4-25556,(2022-01-11)
6.2.4-25556,(2021-09-01)
6.2.4-25556,(2021-04-01)
6.2.4-25556,(2023-05-04)
6.2.4-25554,(2021-02-23)
6.2.3-25426,(2020-12-16)
6.2.3-25426,(2020-07-16)
6.2.3-25426,(2020-06-09)
6.2.3-25426,(2020-05-13)
6.2.3-25423,(2020-04-15)
6.2.2-25044,(2020-01-14)
6.2.2-24922,(2020-03-17)
6.2.2-24922,(2020-01-15)
6.2.2-24922,(2019-11-05)
6.2.2-24922,(2019-08-21)
6.2.2-24922,(2019-07-04)
6.2.2-24922,(2019-06-11)
6.2.2-24922,(2019-04-29)
6.2.1-23824,(2019-02-19)
6.2.1-23824,(2019-01-22)
6.2.1-23824,(2018-12-27)
6.2.1-23824,(2018-12-21)
6.2.1-23824,(2018-12-11)
6.2.1-23824,(2018-10-16)
6.2.1-23824,(2018-08-29)
6.2-23739,(2018-07-12)
6.2-23739,(2018-06-25)
6.2-23739,(2018-05-24)
7.2.1-69057,(2023-10-12)
7.2.1-69057,(2023-10-17)
7.2-64570,(2023-08-03)
7.2-64570,(2023-07-24)
7.2-64570,(2023-06-19)
7.2-64570,(2023-06-20)
7.2-64561,(2023-05-22)
7.1.1-42962,(2023-06-05)
7.1.1-42962,(2023-04-12)
7.1.1-42962,(2023-02-13)
7.1.1-42962,(2022-12-15)
7.1.1-42962,(2022-10-20)
7.1.1-42962,(2022-09-22)
7.1.1-42962,(2022-09-27)
7.1-42661,(2022-08-02)
7.1-42661,(2022-07-05)
7.1-42661,(2022-06-01)
7.1-42661,(2022-04-27)
7.1-42661,(2022-05-04)
7.0.1-42218,(2023-01-04)
7.0.1-42218,(2022-06-23)
7.0.1-42218,(2022-05-18)
7.0.1-42218,(2022-03-01)
7.0.1-42218,(2022-01-13)
7.0.1-42218,(2022-01-13)
7.0.1-42218,(2022-04-12)
7.0-41890,(2021-07-19)
6.2.4-25556,(2023-05-02)
6.2.4-25556,(2022-05-24)
6.2.4-25556,(2022-02-22)
6.2.4-25556,(2022-01-27)
6.2.4-25556,(2022-01-11)
6.2.4-25556,(2021-09-01)
6.2.4-25556,(2021-04-01)
6.2.4-25556,(2023-05-04)
6.2.4-25554,(2021-02-23)
6.2.3-25426,(2020-12-16)
6.2.3-25426,(2020-07-16)
6.2.3-25426,(2020-06-09)
6.2.3-25426,(2020-05-13)
6.2.3-25423,(2020-04-15)
6.2.2-25044,(2020-01-14)
6.2.2-24922,(2020-03-17)
6.2.2-24922,(2020-01-15)
6.2.2-24922,(2019-11-05)
6.2.2-24922,(2019-08-21)
6.2.2-24922,(2019-07-04)
6.2.2-24922,(2019-06-11)
6.2.2-24922,(2019-04-29)
6.2.1-23824,(2019-02-19)
6.2.1-23824,(2019-01-22)
6.2.1-23824,(2018-12-27)
6.2.1-23824,(2018-12-21)
6.2.1-23824,(2018-12-11)
6.2.1-23824,(2018-10-16)
6.2.1-23824,(2018-08-29)
6.2-23739,(2018-07-12)
6.2-23739,(2018-06-25)
6.2-23739,(2018-05-24)
6.1.7-15284,(2019-01-02)
6.1.7-15284,(2018-07-12)
6.1.7-15284,(2018-06-25)
6.1.7-15284,(2018-05-23)
6.1.6-15266,(2018-04-12)
6.1.6-15266,(2018-03-27)
6.1.5-15254,(2018-02-27)
6.1.5-15254,(2018-01-31)
6.1.4-15217,(2017-12-21)
6.1.4-15217,(2017-12-14)
6.1.4-15217,(2017-12-15)
6.1.4-15217,(2017-11-23)
6.1.4-15217,(2017-11-13)
6.1.4-15217,(2017-11-13)
6.1.3-15152,(2017-10-18)
6.1.3-15152,(2017-10-12)
6.1.3-15152,(2017-10-03)
6.1.3-15152,(2017-09-25)
6.1.3-15152,(2017-09-06)
6.1.3-15152,(2017-08-15)
6.1.3-15152,(2017-07-26)
6.1.3-15152,(2017-07-19)
6.1.3-15152,(2017-07-13)
6.1.2-15132,(2017-07-10)
6.1.2-15132,(2017-06-29)
6.1.1-15101,(2017-05-25)
6.1.1-15101,(2017-05-23)
6.1.1-15101,(2017-05-09)
6.1.1-15101,(2017-05-02)
6.1.1-15101,(2017-04-25)
6.1.1-15095,(2017-04-13)
6.1-15047,(2017-03-22)
6.1-15047,(2017-02-25)
6.1-15047,(2017-02-21)
6.1-15022,(2017-01-25)
6.0.3-8754,(2018-06-25)
6.0.3-8754,(2018-05-23)
6.0.3-8754,(2017-10-24)
6.0.3-8754,(2017-09-26)
6.0.3-8754,(2017-07-19)
6.0.3-8754,(2017-07-10)
6.0.3-8754,(2017-06-20)
6.0.3-8754,(2017-05-26)
6.0.3-8754,(2017-05-02)
6.0.2-8575,(2017-04-19)
6.0.2-8575,(2017-04-11)
6.0.2-8575,(2017-01-18)
6.0.2-8575,(2017-01-11)
6.0.2-8575,(2016-12-22)
6.0.2-8451,(2017-04-19)
6.0.2-8451,(2017-04-11)
6.0.2-8451,(2017-01-18)
6.0.2-8451,(2017-01-11)
6.0.2-8451,(2016-12-22)
6.0.2-8451,(2016-12-09)
6.0.2-8451,(2016-11-29)
6.0.2-8451,(2016-11-17)
6.0.2-8451,(2016-11-10)
6.0.2-8451,(2016-10-06)
6.0.2-8451,(2016-09-02)
6.0.2-8451,(2016-08-18)
6.0.1-7393,(2016-07-21)
6.0.1-7393,(2016-06-21)
6.0.1-7393,(2016-06-06)
6.0-7321,(2016-05-13)
6.0-7321,(2016-05-06)
6.0-7321,(2016-05-06)
6.0-7321,(2016-04-27)
6.0-7321,(2016-04-22)
6.0-7321,(2016-04-18)
6.0-7321,(2016-04-15)
6.0-7321,(2016-03-24)
5.2-5967,(2019-01-02)
5.2-5967,(2018-06-25)
5.2-5967,(2018-05-23)
5.2-5967,(2017-11-15)
5.2-5967,(2017-11-08)
5.2-5967,(2017-07-19)
5.2-5967,(2017-06-01)
5.2-5967,(2016-07-27)
5.2-5967,(2016-05-11)
5.2-5967,(2016-04-28)
5.2.2-5644,(2016-04-13)
5.2-5644,(2016-03-09)
5.2-5644,(2016-02-19)
5.2-5644,(2016-02-04)
5.2-5644,(2016-01-22)
5.2-5644,(2015-12-02)
5.2-5644,(2015-11-17)
5.2-5644,(2015-11-13)
5.2-5620,(2015-10-15)
5.2-5592,(2015-09-07)
5.2-5592,(2015-08-20)
5.2-5592,(2015-07-30)
5.2-5592,(2015-07-15)
5.2-5592,(2015-07-01)
5.2-5565,(2015-06-09)
5.2-5565,(2015-05-21)
5.2-5565,(2015-05-12)
5.1-5055,(2015-05-19)
5.1-5022,(2015-04-23)
5.1-5022,(2015-03-21)
5.1-5022,(2015-03-02)
5.1-5022,(2015-02-05)
5.1-5022,(2015-01-22)
5.1-5022,(2015-01-12)
5.1-5021,(2014-12-27)
5.1-5021,(2014-12-18)
5.1-5021,(2014-12-17)
5.1-5004,(2014-11-29)
5.1-5004,(2014-11-07)
5.0-4627,(2014-11-12)
5.0-4627,(2014-10-29)
5.0-4627,(2014-10-22)
5.0-4622,(2014-06-25)
5.0-4528,(2014-11-12)
5.0-4528,(2014-10-29)
5.0-4528,(2014-10-28)
5.0-4519,(2014-09-29)
5.0-4493,(2014-09-29)
5.0-4493,(2014-09-18)
5.0-4493,(2014-09-10)
5.0-4493,(2014-08-26)
5.0-4493,(2014-07-24)
5.0-4493,(2014-06-27)
5.0-4493,(2014-06-11)
5.0-4493,(2014-06-04)
5.0-4482,(2014-04-24)
5.0-4458,(2014-04-10)
5.0-4458,(2014-03-26)
5.0-4458,(2014-03-10)
4.3-3827,(2014-09-29)
4.3-3827,(2014-09-10)
4.3-3827,(2014-08-26)
4.3-3827,(2014-07-24)
4.3-3827,(2014-06-25)
4.3-3827,(2014-06-17)
4.3-3827,(2014-04-21)
4.3-3827,(2014-03-18)
4.3-3827,(2014-02-14)
4.3-3810,(2014-01-09)
4.3-3810,(2013-12-19)
4.3-3810,(2013-12-05)
4.3-3810,(2013-11-20)
4.3-3810,(2013-11-07)
4.3-3781,(2013-09-17)
4.3-3776,(2013-10-15)
4.3-3776,(2013-09-26)
4.3-3776,(2013-09-17)
4.3-3776,(2013-08-27)
4.2-3259,(2017-06-21)
4.2-3256,(2016-05-06)
4.2-3255,(2015-05-19)
4.2-3254,(2015-03-25)
4.2-3252,(2014-09-10)
4.2-3251,(2014-08-26)
4.2-3250,(2014-07-17)
4.2-3248,(2014-04-15)
4.2-3247,(2014-03-20)
4.2-3246,(2014-02-17)
4.2-3243,(2013-11-14)
4.2-3236,(2013-08-08)
4.2-3214,(2013-05-28)
4.2-3211,(2013-04-18)
4.2-3202,(2013-03-04)
4.1-2851,(2012-12-18)
4.1-2850,(2012-12-03)
4.1-2846,(2012-11-13)
4.1-2668,(2012-12-18)
4.1-2661,(2012-11-15)
4.1-2657,(2012-11-08)
4.1-2650,(2012-10-18)
4.1-2647,(2012-10-02)
4.1-2636,(2012-08-31)
4.0-2265,(2014-09-10)
4.0-2264,(2014-08-27)
4.0-2263,(2014-03-20)
4.0-2262,(2014-02-17)
4.0-2259,(2013-11-14)
4.0-2257,(2013-08-16)
